pair_id,flip_count,flipping_models
fact_102,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_042,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_022,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_112,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_057,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_025,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_110,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_027,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_055,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_030,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_107,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_032,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_052,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_105,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_035,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_047,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_037,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_087,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_020,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_060,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_012,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_082,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_005,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_007,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_062,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_010,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_065,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_085,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_015,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_002,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_017,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_080,13,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,mistral-7b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_067,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_092,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_070,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_072,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_075,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_077,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_097,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_125,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_115,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_117,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_122,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_120,12,"claude-haiku,claude-sonnet,deepseek,gemini-flash,gpt-4o-mini,gpt-4o,llama3-70b,qwen,gpt-5.5,claude-opus-4-7,qwen-3.6-flash,deepseek-v4-flash"
fact_101,3,"deepseek,gpt-5.5,deepseek-v4-flash"
fact_076,1,mistral-7b
fact_098,1,deepseek-v4-flash
fact_073,1,mistral-7b
fact_071,1,mistral-7b
fact_068,1,mistral-7b
fact_066,1,mistral-7b
fact_096,0,
fact_118,0,
fact_124,0,
fact_123,0,
fact_083,0,
fact_121,0,
fact_103,0,
fact_084,0,
fact_119,0,
fact_104,0,
fact_094,0,
fact_116,0,
fact_099,0,
fact_086,0,
fact_114,0,
fact_113,0,
fact_088,0,
fact_111,0,
fact_089,0,
fact_109,0,
fact_091,0,
fact_108,0,
fact_106,0,
fact_093,0,
fact_081,0,
fact_001,0,
fact_079,0,
fact_018,0,
fact_031,0,
fact_029,0,
fact_028,0,
fact_026,0,
fact_024,0,
fact_023,0,
fact_021,0,
fact_019,0,
fact_016,0,
fact_078,0,
fact_014,0,
fact_013,0,
fact_011,0,
fact_009,0,
fact_008,0,
fact_006,0,
fact_004,0,
fact_003,0,
fact_033,0,
fact_034,0,
fact_036,0,
fact_038,0,
fact_074,0,
fact_069,0,
fact_064,0,
fact_061,0,
fact_059,0,
fact_058,0,
fact_056,0,
fact_054,0,
fact_053,0,
fact_051,0,
fact_049,0,
fact_048,0,
fact_046,0,
fact_044,0,
fact_043,0,
fact_041,0,
fact_039,0,
fact_063,0,
