model,template_pair,JSS,N
claude-haiku,T1-T2,1.0,75
claude-sonnet,T1-T2,1.0,75
gemini-flash,T1-T2,1.0,25
gpt-4o-mini,T1-T2,1.0,75
gpt-4o,T1-T2,1.0,75
llama3-70b,T1-T2,1.0,75
qwen,T1-T2,1.0,69
claude-opus-4-7,T1-T2,1.0,75
qwen-3.6-flash,T1-T2,1.0,75
deepseek,T1-T2,0.9867,75
gpt-5.5,T1-T2,0.9867,75
deepseek-v4-flash,T1-T2,0.9867,75
mistral-7b,T1-T2,0.9467,75
claude-haiku,T1-T5,1.0,75
claude-sonnet,T1-T5,1.0,75
deepseek,T1-T5,1.0,75
gemini-flash,T1-T5,1.0,25
gpt-4o-mini,T1-T5,1.0,75
gpt-4o,T1-T5,1.0,75
llama3-70b,T1-T5,1.0,75
qwen,T1-T5,1.0,71
gpt-5.5,T1-T5,1.0,75
claude-opus-4-7,T1-T5,1.0,75
qwen-3.6-flash,T1-T5,1.0,75
mistral-7b,T1-T5,0.9733,75
deepseek-v4-flash,T1-T5,0.9733,75
claude-haiku,T2-T3,1.0,75
claude-sonnet,T2-T3,1.0,75
deepseek,T2-T3,1.0,75
gemini-flash,T2-T3,1.0,25
gpt-4o-mini,T2-T3,1.0,75
gpt-4o,T2-T3,1.0,75
llama3-70b,T2-T3,1.0,75
mistral-7b,T2-T3,1.0,75
qwen,T2-T3,1.0,71
gpt-5.5,T2-T3,1.0,75
claude-opus-4-7,T2-T3,1.0,75
qwen-3.6-flash,T2-T3,1.0,75
deepseek-v4-flash,T2-T3,1.0,75
claude-haiku,T3-T4,1.0,75
claude-sonnet,T3-T4,1.0,75
deepseek,T3-T4,1.0,75
gemini-flash,T3-T4,1.0,25
gpt-4o-mini,T3-T4,1.0,75
gpt-4o,T3-T4,1.0,75
llama3-70b,T3-T4,1.0,75
qwen,T3-T4,1.0,69
gpt-5.5,T3-T4,1.0,75
claude-opus-4-7,T3-T4,1.0,75
qwen-3.6-flash,T3-T4,1.0,75
deepseek-v4-flash,T3-T4,1.0,75
mistral-7b,T3-T4,0.72,75
claude-haiku,T4-T5,1.0,57
claude-sonnet,T4-T5,1.0,57
deepseek,T4-T5,1.0,57
gemini-flash,T4-T5,1.0,19
gpt-4o-mini,T4-T5,1.0,57
gpt-4o,T4-T5,1.0,57
llama3-70b,T4-T5,1.0,57
qwen,T4-T5,1.0,54
gpt-5.5,T4-T5,1.0,57
claude-opus-4-7,T4-T5,1.0,57
qwen-3.6-flash,T4-T5,1.0,57
deepseek-v4-flash,T4-T5,1.0,57
mistral-7b,T4-T5,0.7368,57
